ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,How would you rate your current leadership style?,The leadership within the company is generally effective.,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
0,How would you rate your current leadership style?,How effectively does leadership provide feedback and guidance for your professional growth?,0.375,0.25,0.3,0.0,0.0,0.0,0.25,0.16666666666666666,0.2
0,How would you rate your current leadership style?,How would you rate the communication skills of your direct supervisor/manager?,0.625,0.4166666666666667,0.5,0.42857142857142855,0.2727272727272727,0.33333333333333326,0.625,0.4166666666666667,0.5
0,How would you rate your current leadership style?,Do you feel supported and empowered by your direct supervisor/manager?,0.25,0.18181818181818182,0.2105263157894737,0.0,0.0,0.0,0.25,0.18181818181818182,0.2105263157894737
0,How would you rate your current leadership style?,What improvements would you suggest to enhance leadership effectiveness within the company?,0.375,0.25,0.3,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.375,0.25,0.3
0,How would you rate your current leadership style?,Any additional comments or suggestions regarding leadership effectiveness?,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125
1,What are the most important leadership skills for you as a leader?,The leadership within the company is generally effective.,0.16666666666666666,0.25,0.2,0.0,0.0,0.0,0.16666666666666666,0.25,0.2
1,What are the most important leadership skills for you as a leader?,How effectively does leadership provide feedback and guidance for your professional growth?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,What are the most important leadership skills for you as a leader?,How would you rate the communication skills of your direct supervisor/manager?,0.25,0.25,0.25,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,What are the most important leadership skills for you as a leader?,Do you feel supported and empowered by your direct supervisor/manager?,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.0,0.0,0.0,0.08333333333333333,0.09090909090909091,0.08695652173913043
1,What are the most important leadership skills for you as a leader?,What improvements would you suggest to enhance leadership effectiveness within the company?,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,What are the most important leadership skills for you as a leader?,Any additional comments or suggestions regarding leadership effectiveness?,0.08333333333333333,0.125,0.1,0.0,0.0,0.0,0.08333333333333333,0.125,0.1
