QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500100009,0,Do you feel like you have a clear career path?,How long have you been with the company?,0.0715322008763116,0.030107338498197384,0.00044716060625321413
500100009,1,Do you feel like your current job aligns with your career goals?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.1535941187899571,0.0601815450708269,0.0024066808601222404
500100009,2,Do you feel like you have the necessary resources and opportunities to progress in your career?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.1050295733701106,0.07011831359044017,0.0005928993417090184
500100009,3,Do you feel like your current job is preparing you for a future opportunity?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.0434650929738481,0.0344623432886798,0.00023705661064303085
500100009,4,Do you feel like you have a clear understanding of what steps you need to take to reach your career goals?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.0845154254728516,0.047356796385503,0.0006966413331887521
500100009,5,Do you feel like your current role provides a clear path to a more senior position?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.0451552964733705,0.0295097681791961,0.0004208082139371364
500100009,6,Do you feel like you have a clear understanding of the skills and experiences required to progress in your career?,"Rate, from 1 to 5, if there are enough opportunity for vertical career advancement in your company?",0.0888523316638638,0.0599232740545955,0.00041319020746843313
500100033,0,The onboarding process was easy to understand,Any additional comments or feedback regarding the onboarding experience?,0.0511508209907197,0.03291650013604038,0.00014844264770988167
500100033,1,The information provided during onboarding was sufficient,Any additional comments or feedback regarding the onboarding experience?,0.0511508209907197,0.030797709864026374,0.00022407157790152284
500100033,2,The onboarding process made me feel comfortable,Any additional comments or feedback regarding the onboarding experience?,0.0511508209907197,0.030093745302863985,0.00015786865190840248
500100033,3,I felt like a valued member of the team after onboarding,Any additional comments or feedback regarding the onboarding experience?,0.0660288541995552,0.051266967948000196,0.00015371660268240098
500100033,4,The onboarding process was enjoyable,Any additional comments or feedback regarding the onboarding experience?,0.0403075619734704,0.01874297818450077,0.00011930544736026179
500100033,5,I would recommend this onboarding process to others,What improvements would you suggest to improve the onboarding experience for new employees?,0.0564944676407229,0.040027273511503474,0.00016011232566606146
500100033,6,The onboarding process met my expectations,Any additional comments or feedback regarding the onboarding experience?,0.0468739967804914,0.026116364910169488,0.00013958943235191856
