QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500100009,0,Do you feel like you have a clear career path?,"How much effective you think, from 1 to 5, the communication around career opportunity is within the company?",0.1428571428571428,0.08813864478889107,0.002381827379625991
500100009,1,Do you feel like your current job aligns with your career goals?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.3225806451612903,0.14885218767560884,0.00795636913196162
500100009,2,Do you feel like you have the necessary resources and opportunities to progress in your career?,How can the company better communicate and support employees in exploring and pursuing their career goals?,0.25,0.17359410167228945,0.002256692599395303
500100009,3,Do you feel like your current job is preparing you for a future opportunity?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.1818181818181818,0.08885680371855484,0.0031789249458727856
500100009,4,Do you feel like you have a clear understanding of what steps you need to take to reach your career goals?,Have you had discussions with your manager or HR about your career goals and development opportunities within the company?,0.25,0.13312002623643793,0.0033495147175657343
500100009,5,Do you feel like your current role provides a clear path to a more senior position?,"How much effective you think, from 1 to 5, the communication around career opportunity is within the company?",0.1176470588235294,0.062354032522099735,0.0023294184910114687
500100009,6,Do you feel like you have a clear understanding of the skills and experiences required to progress in your career?,How can the company better communicate and support employees in exploring and pursuing their career goals?,0.2222222222222222,0.15360266488086033,0.001885652967502309
500100033,0,The onboarding process was easy to understand,How can the company better support new employees during the onboarding process?,0.3157894736842105,0.23187750791215972,0.005865460324772076
500100033,1,The information provided during onboarding was sufficient,How can the company better support new employees during the onboarding process?,0.3157894736842105,0.20846613667470157,0.00666051991926227
500100033,2,The onboarding process made me feel comfortable,How can the company better support new employees during the onboarding process?,0.3157894736842105,0.23187750791215972,0.005865460324772076
500100033,3,I felt like a valued member of the team after onboarding,Were the objectives and expectations of your role clearly communicated during the onboarding process?,0.2399999999999999,0.1615752441239697,0.002893250336580109
500100033,4,The onboarding process was enjoyable,How can the company better support new employees during the onboarding process?,0.3529411764705882,0.25704828079210323,0.007413865662626903
500100033,5,I would recommend this onboarding process to others,How can the company better support new employees during the onboarding process?,0.2,0.1655146285398386,0.0008014176056351567
500100033,6,The onboarding process met my expectations,How can the company better support new employees during the onboarding process?,0.3333333333333333,0.2437981316928685,0.006567576412879863
