EXPERIMENT_ID,INTRAQSTN_BLEU_SCORE,INTRAQSTN_ROUGE_L_F1_SCORE,BLEU_SCORE_WITH_SAMPLE,ROUGE_L_F1_SCORE_WITH_SAMPLE
0s_FULL_llama3-8b_4000MT_0.25T_0.5FP,,,,
0s_FULL_llama3-8b_4000MT_0.25T_0FP,,,,
0s_FULL_llama3-8b_4000MT_0.5T_0FP,0.0250513322802832,0.2912587069649844,,
0s_FULL_llama3-8b_4000MT_0.5T_1FP,,,,
0s_FULL_llama3-8b_4000MT_0T_0.5FP,,,,
0s_FULL_llama3-8b_4000MT_0T_0FP,0.0170979472222861,0.169559052059052,,
0s_FULL_llama3-8b_4000MT_0T_1FP,,,,
0s_llama3-8b_4000MT_0.25T_0.5FP,,,,
0s_llama3-8b_4000MT_0.25T_0FP,0.04433273272677101,0.30522251618343527,,
0s_llama3-8b_4000MT_0.5T_0FP,0.05515703975088261,0.33340342283587654,,
0s_llama3-8b_4000MT_0.5T_1FP,,,,
0s_llama3-8b_4000MT_0T_0.5FP,,,,
0s_llama3-8b_4000MT_0T_0FP,0.0571000085806769,0.3656387654518104,,
0s_llama3-8b_4000MT_0T_1FP,,,,
1s_FULL_llama3-8b_4000MT_0.25T_0.5FP,,,,
1s_FULL_llama3-8b_4000MT_0.25T_0FP,0.03894915952314522,0.29022406850653654,0.01636033939493688,0.16938007657538792
1s_FULL_llama3-8b_4000MT_0.5T_0FP,0.036616526672339104,0.28682378213582355,0.013788764655455163,0.17111566214700383
1s_FULL_llama3-8b_4000MT_0.5T_1FP,,,,
1s_FULL_llama3-8b_4000MT_0T_0.5FP,,,,
1s_FULL_llama3-8b_4000MT_0T_0FP,0.038151838578443946,0.2872075183367145,0.013404808223144885,0.16640512994567125
1s_FULL_llama3-8b_4000MT_0T_1FP,,,,
1s_llama3-8b_4000MT_0.25T_0.5FP,,,,
1s_llama3-8b_4000MT_0.25T_0FP,0.029173209699786377,0.2823006828132814,0.014819298141093873,0.16199117429309376
1s_llama3-8b_4000MT_0.5T_0FP,0.03003855849254562,0.2686884293310964,0.01594657976769453,0.16497601155052558
1s_llama3-8b_4000MT_0.5T_1FP,,,,
1s_llama3-8b_4000MT_0T_0.5FP,,,,
1s_llama3-8b_4000MT_0T_0FP,0.04023394848775647,0.29441114523095896,0.015191926192077885,0.16297805786824784
1s_llama3-8b_4000MT_0T_1FP,,,,
