EXPERIMENT_ID,CONVERSION_ERROR_RATE,JSON_ERROR_RATE,NOT_SINGLE_QUESTIONNAIRE_ERROR_RATE,AVG_GENERATED_QUESTIONNAIRES,UNIQUE_QST_CODE_ERROR_RATE,AVG_NOT_UNIQUE_QST_CODE,QST_WITHOUT_ANSWER_ERROR_RATE,AVG_QST_WITHOUT_ANSWER,AVERAGE_QUESTION_NUMBER_DEVIATION,AVERAGE_ANSWER_NUMBER_DEVIATION,AVERAGE_QUESTION_NUMBER_DEVIATION_WITH_SAMPLE
0s_llama3-8b_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
0s_FULL_llama3-8b_4000MT_0T_0FP,98.73417721518987,98.73417721518987,0.0,1.0,0.0,,0.0,,,,
1s_FULL_llama3-8b_4000MT_0T_0FP,15.189873417721518,15.189873417721518,0.0,1.0,0.0,,0.0,,1.0,1.2456697517042343,3.269230769230769
0s_FULL_llama3-8b_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
0s_llama3-8b_4000MT_0.25T_0FP,81.0126582278481,81.0126582278481,0.0,1.0,0.0,,0.0,,4.076923076923077,0.6827731092436975,
0s_FULL_llama3-8b_4000MT_0.5T_0FP,96.20253164556962,96.20253164556962,0.0,1.0,0.0,,0.0,,,,
0s_llama3-8b_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
0s_FULL_llama3-8b_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
1s_llama3-8b_4000MT_0.5T_0FP,6.329113924050633,6.329113924050633,0.0,1.0,0.0,,0.0,,3.125,1.3624237236982335,1.71875
1s_llama3-8b_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
0s_FULL_llama3-8b_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
1s_FULL_llama3-8b_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
0s_llama3-8b_4000MT_0T_0FP,88.60759493670886,88.60759493670886,0.0,1.0,0.0,,0.0,,3.25,0.1428571428571432,
1s_FULL_llama3-8b_4000MT_0T_0.5FP,100.0,100.0,,,,,,,,,
1s_llama3-8b_4000MT_0.25T_0FP,10.126582278481013,10.126582278481013,0.0,1.0,0.0,,0.0,,3.5757575757575757,1.1349136952078127,1.3225806451612903
0s_llama3-8b_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
1s_FULL_llama3-8b_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
1s_FULL_llama3-8b_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
1s_FULL_llama3-8b_4000MT_0.25T_0FP,11.39240506329114,11.39240506329114,0.0,1.0,0.0,,0.0,,,1.304416196068445,3.3214285714285716
1s_llama3-8b_4000MT_0T_0FP,7.594936708860759,7.594936708860759,0.0,1.0,0.0,,0.0,,2.7948717948717947,1.1123676238172036,1.5862068965517242
1s_llama3-8b_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
0s_llama3-8b_4000MT_0.5T_0FP,81.0126582278481,81.0126582278481,0.0,1.0,0.0,,0.0,,4.384615384615385,0.5968253968253966,
1s_llama3-8b_4000MT_0T_0.5FP,100.0,100.0,,1.0,,,,,,,
0s_llama3-8b_4000MT_0.25T_0.5FP,100.0,100.0,,,,,,,,,
0s_FULL_llama3-8b_4000MT_0.25T_0FP,100.0,100.0,,,,,,,,,
1s_FULL_llama3-8b_4000MT_0.5T_0FP,16.455696202531644,16.455696202531644,0.0,1.0,0.0,,0.0,,1.0,1.2749413780663779,3.3333333333333335
0s_FULL_llama3-8b_4000MT_0T_1FP,100.0,100.0,,,,,,,,,
1s_llama3-8b_4000MT_0.5T_1FP,100.0,100.0,,,,,,,,,
