EXPERIMENT_ID,ASW_BLEU_SCORE,ASW_ROUGE_L_F1_SCORE,QST_BLEU_SCORE,QST_ROUGE_L_F1_SCORE
0s_FULL_llama3-8b_4000MT_0.5T_0FP,0.14308466713435378,0.19666666666666666,0.23207907534381836,0.41152366519567646
0s_FULL_llama3-8b_4000MT_0T_0FP,0.25,0.4166666666666666,0.0802835899120753,0.237010989010989
0s_llama3-8b_4000MT_0.25T_0FP,0.05320767478181755,0.12976669472502805,0.21097428404482452,0.40687538799203987
0s_llama3-8b_4000MT_0.5T_0FP,0.04021924003264478,0.056875616269051896,0.23909803202726257,0.4023789645086603
0s_llama3-8b_4000MT_0T_0FP,0.024222665061797623,0.04038065843621398,0.1767142264097459,0.3640259225280967
1s_FULL_llama3-8b_4000MT_0.25T_0FP,0.07389952742156025,0.1055956014166816,0.22008655888440018,0.381328023619856
1s_FULL_llama3-8b_4000MT_0.5T_0FP,0.06669249531273115,0.12170596451717548,0.2252014263629324,0.3864196878511452
1s_FULL_llama3-8b_4000MT_0T_0FP,0.07951335334187871,0.10956807755948382,0.21429172556867085,0.3759190657668039
1s_llama3-8b_4000MT_0.25T_0FP,0.08498043905991773,0.1295911689330368,0.21787840761745667,0.37991065788811007
1s_llama3-8b_4000MT_0.5T_0FP,0.061963332310710016,0.09950902417087737,0.2099151003150909,0.3774556240694029
1s_llama3-8b_4000MT_0T_0FP,0.08477695770359171,0.12854624441743384,0.21310448885287936,0.38269823185103163
