QUESTIONNAIRE_ID,VARIABILITY
1146002,0.6666666666666666
1146004,0.2
1173001,0.375
1173002,0.5
1173003,0.16666666666666666
1173004,0.5
1173005,0.5
1213249,0.6666666666666666
1433792,0.2
5100002,0.5
5100003,0.6
500000002,0.375
500000003,0.375
500000005,0.5
500100002,0.6
500100003,0.375
500100004,0.5714285714285714
500100005,0.2857142857142857
500100006,0.375
500100007,0.42857142857142855
500100009,0.375
500100010,0.375
500100012,0.42857142857142855
500100013,0.5714285714285714
500100014,0.4
500100015,0.6
500100016,0.42857142857142855
500100017,0.25
500100018,0.2857142857142857
500100019,0.3333333333333333
500100020,0.375
500100021,0.375
500100022,0.6666666666666666
500100023,0.6
500100024,0.375
500100025,0.5
500100026,0.3333333333333333
500100027,0.8
500100028,0.6
500100029,0.375
500100031,0.6
500100032,0.375
500100033,0.375
500100034,0.375
500100035,0.5714285714285714
500100036,0.2857142857142857
500100037,0.375
500100038,0.5714285714285714
500100040,0.8
500100043,0.5
500100044,0.5
500100045,0.2
500100046,0.42857142857142855
500100047,0.6666666666666666
500100048,0.5714285714285714
500100049,0.14285714285714285
500100050,0.2857142857142857
500100051,0.3333333333333333
500100052,0.3333333333333333
500100053,0.5
500100054,0.5714285714285714
500100055,0.5
500100056,1.0
500100057,0.8
500100058,0.375
500100059,0.4
500100060,0.42857142857142855
500100061,0.4
500100062,0.375
500100063,0.6
500100064,0.375
500100065,0.375
500100066,0.6
