QUESTIONNAIRE_ID,SAMPLE_QUESTIONNAIRE_ID,BLEU_SCORE,ROUGE_L_PRECISION,ROUGE_L_RECALL,ROUGE_L_F1
1146002,500100024,0.008896240179766072,0.13436717603384268,0.1333994708994709,0.1286863550815933
1146004,500100043,0.033542691411246,0.2613333333333333,0.21238095238095236,0.23075638266102666
1173001,500100018,0.017262904158177477,0.17566137566137566,0.13377792475014696,0.14003170513262203
1173002,500100039,0.014824705959813524,0.19051226551226552,0.17538882263780847,0.17610124167811833
1173003,1146004,0.0,0.002380952380952381,0.023809523809523808,0.004329004329004329
1173004,500100046,0.005056356211695561,0.10983584316917648,0.0893162393162393,0.09605083269386405
1173005,500100054,0.006376031463907109,0.16858637394351678,0.1483012223450275,0.14900185825243964
1213249,500100021,0.01699353710942327,0.16346801346801346,0.1257570043937003,0.13954019136951729
1433792,1146004,0.0009902102579427785,0.047619047619047616,0.08095238095238096,0.05904761904761905
5100002,500100012,0.006344109552572011,0.18636321195144726,0.21880952380952381,0.19839263760608328
5100003,500100009,0.00424316935710531,0.15287157287157288,0.1301953237435325,0.13403803683439713
500000002,500100014,0.00623235683757762,0.21040523691994278,0.17866361416361415,0.18356072332477835
500000003,500100013,0.024706473408338762,0.2244539411206078,0.22358058608058606,0.2184795225492372
500000005,500100024,0.006513382961070426,0.2243827160493827,0.18592923280423282,0.1982657926519819
500100002,500100061,0.009156394004086675,0.16196078431372551,0.2360555555555556,0.18310658082810827
500100003,500100029,0.015599357889226338,0.17496392496392496,0.17701955782312925,0.16499405297278105
500100004,500100039,0.012911367719504092,0.17039419663969482,0.17570705558969832,0.16791540159008608
500100005,500100023,0.020772614770621724,0.19998785228377067,0.24212827988338195,0.2039813588679147
500100006,500100037,0.006065493636140691,0.1209764991139383,0.14925040688027702,0.12768724386425817
500100007,500100029,0.01901946054656041,0.18298759064065184,0.12800048590864915,0.14214666418861635
500100009,500100003,0.026054807041967054,0.1766742919389978,0.17235095704948644,0.16058554180099235
500100010,500100003,0.01740745693997636,0.16135694173705872,0.15374221910986619,0.14441455953960222
500100012,500100031,0.0320285529299552,0.17780473494759208,0.17941616206922328,0.17437436578168844
500100013,500100052,0.01672540321945584,0.15434537451344174,0.14577060128080538,0.14242707020446052
500100014,500100043,0.013712466484748654,0.21164285714285713,0.19295238095238093,0.19380984411069557
500100015,500100016,0.01870209902501523,0.21019536019536023,0.22967532467532467,0.21331366341739208
500100016,500100013,0.013509514824128124,0.23831807081807085,0.23735609628466772,0.2312578746233446
500100017,500100041,0.026098014272568616,0.18258127975708185,0.16765545246999422,0.16634635811270926
500100018,500100035,0.043523453479035516,0.1926812605384034,0.18508250230939308,0.18583215445057852
500100019,500100024,0.010908979660995492,0.14814216284804518,0.1727017195767196,0.1548043988071707
500100020,500100018,0.022375866960644464,0.18452643929697068,0.19669679600235154,0.17622836194807326
500100021,500100005,0.01212058986004235,0.16253820674275218,0.1569579660678732,0.15331794819624514
500100022,1173004,0.006090246796471259,0.1577246283128636,0.1851851851851852,0.16788359568011407
500100023,500100024,0.007256153752961239,0.24107142857142855,0.21573412698412697,0.2186226300277564
500100024,500100041,0.02611057869472896,0.22521530756824876,0.2122232116038831,0.20630284639105959
500100025,500100065,0.010495553203823322,0.15674603174603174,0.13775946275946277,0.1432998122755124
500100026,500100031,0.020968068549400753,0.13488971346114204,0.16756279434850865,0.14454320287353756
500100027,500100022,0.01027533355195267,0.15294348508634223,0.16468341182626897,0.15358300760559207
500100028,500100045,0.007940798977981174,0.14175213675213674,0.11404040404040403,0.12512730316161688
500100029,500100018,0.0184412459750026,0.19969447562040155,0.1758867332941407,0.17311967051212826
500100031,500100044,0.007616176863474672,0.1873333333333333,0.21554761904761904,0.1952180736951535
500100032,500100013,0.023007354118959582,0.1862207792207792,0.19060897435897434,0.18393990483701636
500100033,500100042,0.029402406478293678,0.22671130952380952,0.19857200091575092,0.20570615690296984
500100034,500100008,0.0104462193130454,0.14256963869463868,0.11257118142450291,0.1176631868787898
500100035,1173001,0.010950062936874297,0.18842145949288802,0.17184691248601025,0.1762304544652903
500100036,500100049,0.02696546789742543,0.22725863317968578,0.19826889820255586,0.20699718937582898
500100037,500100006,0.01420828339773778,0.15442941375747243,0.13482039222779962,0.13858113004514244
500100038,500100052,0.015029900986144087,0.11178344964359373,0.15635892452218983,0.12631479714064642
500100040,500100046,0.009283432274033653,0.19016317016317016,0.20213675213675214,0.19159901436957075
500100043,500100041,0.026046263116163967,0.22743506493506493,0.23601716084323462,0.2168844219876834
500100044,1173005,0.008088638135196079,0.1505952380952381,0.1575892857142857,0.14866600655106846
500100045,500100043,0.01596878448490737,0.19803418803418804,0.16685714285714287,0.1760629267334073
500100046,1433792,0.004334309040976066,0.08011544011544011,0.0739962418533847,0.0744403814365355
500100047,1173001,0.009273462274314795,0.1644047619047619,0.17833546570388678,0.16895947907510342
500100048,500100028,0.017118122124307838,0.15045258029951908,0.17029603050011213,0.15597009653600055
500100049,1146002,0.009002429214525291,0.1546448649389826,0.17437308256635986,0.16216595405990938
500100050,500100017,0.018635719880378078,0.17194429719939927,0.19950967399946992,0.18029349297457456
500100051,500100058,0.006532169783831118,0.14519686662543801,0.15834661370375655,0.14916329942708229
500100052,500100065,0.008122296056143676,0.16716246716246713,0.16058201058201055,0.1604246162337758
500100053,500100062,0.02931481013809122,0.1390494168660287,0.14560083146020644,0.13813903224068624
500100054,500100038,0.02715825366786572,0.14283137497423212,0.11838390528625245,0.1257532077355514
500100055,500100062,0.022411703496530547,0.16903312169856288,0.1516656954156954,0.15505460846202396
500100056,1173004,0.008404916635072973,0.17123617123617124,0.11851851851851852,0.13675077645665878
500100057,1173005,0.006838376572882725,0.14832251082251086,0.17142857142857143,0.15156710240224172
