ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Strongly agree,1,0
0,0.0,Strongly agree,2,0
0,0.0,Strongly agree,3,0
0,0.0,Strongly agree,4,0
0,0.0,Strongly agree,5,0
0,0.0,Strongly agree,6,0
0,0.0,Strongly agree,7,0
0,0.0,Strongly agree,8,0
0,0.0,Strongly agree,9,0
0,0.0,Strongly agree,10,0
1,0.0,Agree,1,0
1,0.0,Agree,2,0
1,0.0,Agree,3,0
1,0.0,Agree,4,0
1,0.0,Agree,5,0
1,0.0,Agree,6,0
1,0.0,Agree,7,0
1,0.0,Agree,8,0
1,0.0,Agree,9,0
1,0.0,Agree,10,0
2,0.0,Neutral,1,0
2,0.0,Neutral,2,0
2,0.0,Neutral,3,0
2,0.0,Neutral,4,0
2,0.0,Neutral,5,0
2,0.0,Neutral,6,0
2,0.0,Neutral,7,0
2,0.0,Neutral,8,0
2,0.0,Neutral,9,0
2,0.0,Neutral,10,0
3,0.0,Disagree,1,0
3,0.0,Disagree,2,0
3,0.0,Disagree,3,0
3,0.0,Disagree,4,0
3,0.0,Disagree,5,0
3,0.0,Disagree,6,0
3,0.0,Disagree,7,0
3,0.0,Disagree,8,0
3,0.0,Disagree,9,0
3,0.0,Disagree,10,0
4,0.0,Strongly disagree,1,0
4,0.0,Strongly disagree,2,0
4,0.0,Strongly disagree,3,0
4,0.0,Strongly disagree,4,0
4,0.0,Strongly disagree,5,0
4,0.0,Strongly disagree,6,0
4,0.0,Strongly disagree,7,0
4,0.0,Strongly disagree,8,0
4,0.0,Strongly disagree,9,0
4,0.0,Strongly disagree,10,0
0,1.0,Strongly agree,Yes,0
0,1.0,Strongly agree,No,0
0,1.0,Strongly agree,Sometimes,0
1,1.0,Agree,Yes,0
1,1.0,Agree,No,0
1,1.0,Agree,Sometimes,0
2,1.0,Neutral,Yes,0
2,1.0,Neutral,No,0
2,1.0,Neutral,Sometimes,0
3,1.0,Disagree,Yes,0
3,1.0,Disagree,No,0
3,1.0,Disagree,Sometimes,0
4,1.0,Strongly disagree,Yes,0
4,1.0,Strongly disagree,No,0
4,1.0,Strongly disagree,Sometimes,0
0,2.0,Strongly agree,Excellent,0
0,2.0,Strongly agree,Good,0
0,2.0,Strongly agree,Neutral,0
0,2.0,Strongly agree,Poor,0
0,2.0,Strongly agree,Very poor,0
1,2.0,Agree,Excellent,0
1,2.0,Agree,Good,0
1,2.0,Agree,Neutral,0
1,2.0,Agree,Poor,0
1,2.0,Agree,Very poor,0
2,2.0,Neutral,Excellent,0
2,2.0,Neutral,Good,0
2,2.0,Neutral,Neutral,1.0
2,2.0,Neutral,Poor,0
2,2.0,Neutral,Very poor,0
3,2.0,Disagree,Excellent,0
3,2.0,Disagree,Good,0
3,2.0,Disagree,Neutral,0
3,2.0,Disagree,Poor,0
3,2.0,Disagree,Very poor,0
4,2.0,Strongly disagree,Excellent,0
4,2.0,Strongly disagree,Good,0
4,2.0,Strongly disagree,Neutral,0
4,2.0,Strongly disagree,Poor,0
4,2.0,Strongly disagree,Very poor,0
0,3.0,Strongly agree,"Yes, always",0
0,3.0,Strongly agree,"Yes, most of the time",0
0,3.0,Strongly agree,Sometimes,0
0,3.0,Strongly agree,Rarely,0
0,3.0,Strongly agree,"No, never",0
1,3.0,Agree,"Yes, always",0
1,3.0,Agree,"Yes, most of the time",0
1,3.0,Agree,Sometimes,0
1,3.0,Agree,Rarely,0
1,3.0,Agree,"No, never",0
2,3.0,Neutral,"Yes, always",0
2,3.0,Neutral,"Yes, most of the time",0
2,3.0,Neutral,Sometimes,0
2,3.0,Neutral,Rarely,0
2,3.0,Neutral,"No, never",0
3,3.0,Disagree,"Yes, always",0
3,3.0,Disagree,"Yes, most of the time",0
3,3.0,Disagree,Sometimes,0
3,3.0,Disagree,Rarely,0
3,3.0,Disagree,"No, never",0
4,3.0,Strongly disagree,"Yes, always",0
4,3.0,Strongly disagree,"Yes, most of the time",0
4,3.0,Strongly disagree,Sometimes,0
4,3.0,Strongly disagree,Rarely,0
4,3.0,Strongly disagree,"No, never",0
0,4.0,Strongly agree,Completely agree,0.18616487055295167
0,4.0,Strongly agree,Partially agree,0.18616487055295167
0,4.0,Strongly agree,Neutral,0.0
0,4.0,Strongly agree,Partially disagree,0.0
0,4.0,Strongly agree,Completely disagree,0.0
1,4.0,Agree,Completely agree,0
1,4.0,Agree,Partially agree,0
1,4.0,Agree,Neutral,0
1,4.0,Agree,Partially disagree,0
1,4.0,Agree,Completely disagree,0
2,4.0,Neutral,Completely agree,0
2,4.0,Neutral,Partially agree,0
2,4.0,Neutral,Neutral,1.0
2,4.0,Neutral,Partially disagree,0
2,4.0,Neutral,Completely disagree,0
3,4.0,Disagree,Completely agree,0
3,4.0,Disagree,Partially agree,0
3,4.0,Disagree,Neutral,0
3,4.0,Disagree,Partially disagree,0
3,4.0,Disagree,Completely disagree,0
4,4.0,Strongly disagree,Completely agree,0
4,4.0,Strongly disagree,Partially agree,0
4,4.0,Strongly disagree,Neutral,0
4,4.0,Strongly disagree,Partially disagree,0.18616487055295167
4,4.0,Strongly disagree,Completely disagree,0.18616487055295167
