QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,0.0,0.0,0.05343382158631025,0.0010783192019709212
1146004,0.0,0.0,0.0,0.0
1173001,0.032934827211027605,0.02527773163145276,0.12508215195626807,0.004586394142031931
1173002,,,,
1173003,0.0,0.0,0.052687770942603955,0.0001265082756041227
1173004,,,,
1173005,0.07446594822118065,0.010397207708399168,0.08187727622594718,0.0020287147295173073
1213249,0.0,0.0,0.10778668413133745,0.008788985890836275
1433792,0.0,0.0,0.0731906149463051,0.001376761659815342
5100002,0.0,0.0,0.18730844931345833,0.00871721372961033
5100003,0.0,0.0,0.1748623877991723,0.012601092304744535
500000002,,,,
500000003,0.0,0.0,0.03253992461247937,0.0007729605030820481
500000005,0.0,0.0,0.11990751615825376,0.005835450422205714
500100002,0.34782608695652173,0.23715415019762842,0.6187061472911544,0.06164683441461304
500100003,0.0,0.0,0.20344324492385013,0.0038099868182293922
500100004,0.05059974819272989,0.018081537820025226,0.28655017854332493,0.02691907112886813
500100005,0.0,0.0,0.180573055419807,0.003604573709010428
500100006,,,,
500100007,0.0043685946248684,0.00038126168291792385,0.19221880547908557,0.01756843260818539
500100008,,,,
500100009,0.0,0.0,0.0874946316243184,0.0019018509763322833
500100010,0.1578788070932777,0.12993517819527076,0.14993104694388787,0.004063268940368559
500100011,0.00809412480665007,0.0015068416968694444,0.13222767093430018,0.003059355136968753
500100012,,,,
500100013,0.005171246404248656,0.0009627044174443669,0.24547542867265243,0.01356557498052295
500100014,0.0,0.0,0.15386899850107433,0.006522809925603794
500100015,0.05,0.04999999999999999,0.28496008903660003,0.04020456612894795
500100016,0.0,0.0,0.18663814198415657,0.01665314482403422
500100017,0.08072527888858254,0.05990831356113277,0.18406518131609856,0.006735177122702157
500100018,0.19444444444444445,0.16111111111111112,0.22627109064161846,0.013040182742714426
500100019,0.3333333333333333,0.24242424242424246,0.2504842873550045,0.012270096283919507
500100020,0.0,0.0,0.333640880604236,0.020027958193169302
500100021,0.0,0.0,0.20462553283956345,0.007394880121718855
500100022,,,,
500100023,0.125,0.11666666666666667,0.14285469453224384,0.01602144764495088
500100024,0.0,0.0,0.2521902344105958,0.010118893210448777
500100025,0.0,0.0,0.3373625926927052,0.039967984693805074
500100026,0.0030173980829008426,0.00014553279825124432,0.40044822034517874,0.044498976344693325
500100027,0.11506130897647114,0.09509943292713584,0.21526826156248688,0.004413631683264618
500100028,0.0,0.0,0.280500720025504,0.015350735136261633
500100029,0.3611111111111111,0.2373015873015873,0.37276785214500474,0.01961154499693395
500100030,0.2222222222222222,0.18300653594771243,0.4016551088948897,0.05295056506678926
500100031,0.0,0.0,0.3128235238075941,0.01241596901733999
500100032,0.011340230290662862,0.004629629629629631,0.17792896166918998,0.0036405991911155995
500100033,0.6923076923076923,0.23076923076923075,0.15542513592246385,0.011004243234939363
500100034,0.35714285714285715,0.24725274725274715,0.2247114995872116,0.012448522918860479
500100035,0.08577060881911897,0.06344061071071713,0.3739481543570575,0.04076120970637729
500100036,0.4827586206896552,0.2586206896551724,0.26877859551962735,0.011270949380594152
500100037,,,,
500100038,0.02962870691565994,0.00283424200335486,0.3455554296994531,0.008323860104540956
500100039,0.0,0.0,0.2222697034027634,0.012374144502317849
500100040,0.023809523809523805,0.011904761904761904,0.2991071609119647,0.010299365968047074
500100041,0.0,0.0,0.2994380591718071,0.041488656235314635
500100042,0.07692307692307693,0.07384615384615385,0.20124427205691586,0.005890645081024957
500100043,0.0,0.0,0.2937939708050538,0.040596302594404055
500100044,0.0,0.0,0.2234635861051105,0.016179078560078112
500100045,0.0,0.0,0.13577610249757766,0.0036816380922730122
500100046,0.0,0.0,0.11851116594444615,0.0173497055946281
500100047,0.0,0.0,0.24442655658601464,0.0502473177757071
500100048,0.12859793356193833,0.1095950671405741,0.36657401745219365,0.019124154536619867
500100049,0.0,0.0,0.23063788423920814,0.009465082504007929
500100050,0.16666666666666666,0.1515151515151515,0.24648087366898946,0.012254659346252226
500100051,,,,
500100052,0.0,0.0,0.08862642539658201,0.002183986148501473
500100053,0.14713368643458447,0.08956608847145696,0.282146986789114,0.09230503079317412
500100054,0.09523809523809523,0.09047619047619046,0.20288110585109334,0.013437681222576763
500100055,0.0024893534183931952,0.00012393760883331768,0.40487669267403065,0.030934759122431533
500100056,0.0,0.0,0.2066197358693782,0.008869053260860875
500100057,0.0,0.0,0.2576056577206435,0.004271076075000578
500100058,0.10526315789473684,0.09941520467836257,0.21106973691194839,0.0060015114352044525
500100059,0.0,0.0,0.24718681826169311,0.01353754723002569
500100060,0.0,0.0,0.2504227568681786,0.020860704554413908
500100061,0.043478260869565216,0.04347826086956523,0.26158281697698854,0.014231082350757531
500100062,0.0952134624923662,0.06895139384367918,0.09639314687377863,0.006515284850249196
500100063,0.05263157894736842,0.05263157894736842,0.22553175612607343,0.01002858241428424
500100064,0.0,0.0,0.1967362633772702,0.004296512769037455
500100065,0.029366545565307565,0.003599322010054924,0.23463096161388458,0.005193404297913594
500100066,0.38095238095238093,0.24761904761904757,0.16595491280123728,0.0009566203885460299
