ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Very clear,Executive/Senior Management,0
0,0.0,Very clear,Manager,0
0,0.0,Very clear,Staff/Employee,0
1,0.0,Somewhat clear,Executive/Senior Management,0
1,0.0,Somewhat clear,Manager,0
1,0.0,Somewhat clear,Staff/Employee,0
2,0.0,Not very clear,Executive/Senior Management,0
2,0.0,Not very clear,Manager,0
2,0.0,Not very clear,Staff/Employee,0
3,0.0,Not clear at all,Executive/Senior Management,0
3,0.0,Not clear at all,Manager,0
3,0.0,Not clear at all,Staff/Employee,0
0,1.0,"Yes, very specific and measurable",Yes,0
0,1.0,"Yes, very specific and measurable",No,0
0,1.0,"Yes, very specific and measurable",Not sure,0
1,1.0,"Yes, somewhat specific and measurable",Yes,0
1,1.0,"Yes, somewhat specific and measurable",No,0
1,1.0,"Yes, somewhat specific and measurable",Not sure,0
2,1.0,"No, not specific and measurable",Yes,0
2,1.0,"No, not specific and measurable",No,0
2,1.0,"No, not specific and measurable",Not sure,0
0,2.0,Very well aligned,Very involved,0.13531520539516304
0,2.0,Very well aligned,Somewhat involved,0.0
0,2.0,Very well aligned,Neutral,0.0
0,2.0,Very well aligned,Not very involved,0.0
0,2.0,Very well aligned,Not involved at all,0.0
1,2.0,Somewhat aligned,Very involved,0
1,2.0,Somewhat aligned,Somewhat involved,0.18616487055295167
1,2.0,Somewhat aligned,Neutral,0
1,2.0,Somewhat aligned,Not very involved,0
1,2.0,Somewhat aligned,Not involved at all,0
2,2.0,Not well aligned,Very involved,0
2,2.0,Not well aligned,Somewhat involved,0
2,2.0,Not well aligned,Neutral,0
2,2.0,Not well aligned,Not very involved,0.13531520539516304
2,2.0,Not well aligned,Not involved at all,0.09695758146235765
3,2.0,Not aligned at all,Very involved,0
3,2.0,Not aligned at all,Somewhat involved,0
3,2.0,Not aligned at all,Neutral,0
3,2.0,Not aligned at all,Not very involved,0.10748233812739852
3,2.0,Not aligned at all,Not involved at all,0.49999999999999994
0,3.0,The roadmap's clear vision and goals,Very clear,0.07728215553472559
0,3.0,The roadmap's clear vision and goals,Somewhat clear,0.07728215553472559
0,3.0,The roadmap's clear vision and goals,Very unclear,0.0
1,3.0,The roadmap's focus on key initiatives,Very clear,0
1,3.0,The roadmap's focus on key initiatives,Somewhat clear,0
1,3.0,The roadmap's focus on key initiatives,Very unclear,0
2,3.0,The roadmap's emphasis on collaboration and teamwork,Very clear,0
2,3.0,The roadmap's emphasis on collaboration and teamwork,Somewhat clear,0
2,3.0,The roadmap's emphasis on collaboration and teamwork,Very unclear,0
3,3.0,Other (please specify),Very clear,0
3,3.0,Other (please specify),Somewhat clear,0
3,3.0,Other (please specify),Very unclear,0
