QUESTIONNAIRE_ID,BLEU_SCORE,ROUGE_L_PRECISION,ROUGE_L_RECALL,ROUGE_L_F1
1146002,0.013312059307557396,0.2947528661814376,0.29475286618143764,0.2857148488188044
1146004,0.0077731719917531455,0.18675444925444923,0.18675444925444926,0.1844559317844513
1173001,0.011775549549996326,0.2710307285307285,0.2710307285307285,0.2548364914813666
1173003,0.0283077189173081,0.34568986568986565,0.3456898656898657,0.3410652758355681
1173004,0.0390647909449679,0.48319088319088327,0.48319088319088327,0.47041847041847046
1173005,0.004981862058110219,0.23135402609086822,0.2313540260908682,0.22365384009675834
5100002,0.01880753811068595,0.25102751155558645,0.2510275115555865,0.24376712087761607
5100003,0.05014702875271058,0.2574552927231499,0.2574552927231499,0.2530783737246586
500000002,0.058602843943631425,0.2406651219151219,0.2406651219151219,0.23575494387842955
500000003,0.019734992875478103,0.25170566432314556,0.2517056643231455,0.23977260744312018
500000005,0.039805643425164176,0.27805555555555556,0.2780555555555556,0.2763359378839255
500100002,0.0795144434164327,0.37217659290027716,0.3721765929002771,0.3675904004964323
500100003,0.08371733052948965,0.3286362631176872,0.3286362631176872,0.32217207741325704
500100004,0.02406938036525512,0.2714653402153402,0.2714653402153402,0.2676477149608796
500100005,0.06388987505221548,0.30612762237762237,0.3061276223776224,0.3030546624698404
500100006,0.014226607331451766,0.2767053741012074,0.27670537410120744,0.2701381392103388
500100007,0.02115430897100633,0.29073397603617385,0.2907339760361738,0.28254964473065036
500100008,0.011113158623109985,0.23802214760548093,0.23802214760548093,0.22088369206501046
500100010,0.026452701651027748,0.3148504273504274,0.3148504273504274,0.3050365063456851
500100011,0.032208055340306525,0.3137638729018373,0.3137638729018373,0.3112361232155284
500100012,0.021177601810890186,0.24564112358230009,0.24564112358230003,0.23963003694139737
500100013,0.02318285503654705,0.24130915380915377,0.24130915380915383,0.23600321444782907
500100014,0.015938166304760533,0.21203703703703702,0.21203703703703705,0.2025152594555834
500100016,0.0170542248702122,0.29832556332556326,0.2983255633255633,0.29171362614840873
500100017,0.014479487614017248,0.2533532643826761,0.25335326438267614,0.24491944100790536
500100018,0.04446433630569456,0.33013017075517076,0.33013017075517076,0.31855069390549645
500100020,0.047553004709442695,0.3328668390433096,0.33286683904330966,0.3309770629918015
500100021,0.008422437354440477,0.19375661375661382,0.19375661375661377,0.18943705839698166
500100022,0.028690868816840638,0.22766862766862764,0.22766862766862764,0.22430743859315283
500100023,0.02915491382113276,0.26105442176870747,0.2610544217687074,0.25429661589081876
500100024,0.011342239007032445,0.36256613756613765,0.36256613756613754,0.3525641718675775
500100025,0.009529367818502357,0.21713901569399688,0.21713901569399688,0.20418532833931943
500100026,0.018838978147026973,0.2579486871153538,0.2579486871153538,0.25216448484301757
500100027,0.07218550120589305,0.32085746157437334,0.3208574615743733,0.31593921996055163
500100028,0.04344315882135882,0.3462579087579088,0.34625790875790874,0.343129222432428
500100029,0.07586968637524075,0.40869708994708986,0.40869708994709,0.40112474165671663
500100030,0.12900518071116276,0.37006604506604496,0.37006604506604496,0.36798097125633356
500100032,0.1758248051205475,0.43929334554334554,0.43929334554334554,0.43574935034069134
500100033,0.030638935515929243,0.33332824582824583,0.3333282458282459,0.32270313589472144
500100034,0.05274771839854599,0.3387851037851037,0.3387851037851037,0.3296047926012943
500100035,0.009127458607016447,0.20694444444444446,0.20694444444444446,0.20335299905968907
500100036,0.02804004435221729,0.2919850734582877,0.2919850734582877,0.2835328226566016
500100038,0.056998525838177105,0.3188375350140056,0.3188375350140057,0.3152021033913613
500100039,0.022954676534606287,0.2604654604654605,0.2604654604654605,0.257593993308279
500100040,0.030592858437587377,0.24233437314319672,0.2423343731431967,0.23406808118743114
500100041,0.06917773574298283,0.31495603811393286,0.3149560381139329,0.3078904787582829
500100042,0.017327958506612458,0.24986679986679985,0.24986679986679985,0.24584225298511012
500100044,0.03460424365020534,0.2607142857142858,0.2607142857142858,0.25419818368094227
500100045,0.006910193228325909,0.23728327228327226,0.23728327228327226,0.2220017208229619
500100046,0.014372459965890618,0.35150673400673405,0.35150673400673405,0.3446017893737192
500100047,0.011886236638519435,0.20404684095860567,0.20404684095860567,0.19131083396473275
500100048,0.0663694134091033,0.33773562225159964,0.33773562225159964,0.3345845909068292
500100050,0.025865217466215073,0.23991596638655457,0.2399159663865546,0.23866160412322812
500100051,0.0174707414730858,0.28569665957823853,0.28569665957823853,0.2752484208461438
500100053,0.054275452787736066,0.270217803030303,0.270217803030303,0.26714872255407723
500100054,0.012318893637801547,0.22544816294816292,0.22544816294816294,0.2213433599591442
500100055,0.01085067004554774,0.2826599326599327,0.28265993265993267,0.27294179894179893
500100056,0.010208572476295863,0.31840659340659344,0.31840659340659344,0.3051596178109841
500100057,0.026156798200085603,0.26890203050917333,0.26890203050917333,0.2649934314327694
500100058,0.023908676295254748,0.3035694464265893,0.3035694464265893,0.29300536773894076
500100059,0.029210263355437822,0.2834535973633718,0.2834535973633718,0.2768592189801057
500100060,0.0618869346982193,0.3631730769230769,0.3631730769230769,0.35926652058586106
500100061,0.018048495597094164,0.15620214752567693,0.15620214752567693,0.1527434593278687
500100062,0.038416099113266454,0.3372872225813402,0.3372872225813402,0.3317806525752553
500100063,0.2114122338817676,0.6159259259259257,0.6159259259259258,0.6148927875243663
500100064,0.06980855299345232,0.3806013431013431,0.3806013431013431,0.37471622553074163
500100065,0.059771248900365934,0.28511541368684223,0.28511541368684223,0.28330402040982844
