ID,QUESTION_ID,TEMPLATE_ID,CODE_ID,ANSWER,IS_COMMENT_MANDATORY,CANNOT_ANSWER,SCORE,DISPLAY_ORDER,ENTITYSET_INSTANCE_ID,ENTITYSET_ENTITY_ID,WEIGHT_LEVEL,SHAREDIDENTIFIER,LISTAGENCY_ID,INSERT_TIME,INSERT_USER,INSERT_CLIENT,UPDATE_TIME,UPDATE_USER,UPDATE_CLIENT,UPDATE_COUNT,WORKFLOW_ID
1146002,1146002,1146006,NULL,Completely Disagree,0,0,1,0,NULL,NULL,0,1146002,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146003,1146002,1146007,NULL,2,0,0,2,0,NULL,NULL,0,1146003,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146004,1146002,1146008,NULL,3,0,0,3,0,NULL,NULL,0,1146004,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146005,1146002,1146009,NULL,4,0,0,4,0,NULL,NULL,0,1146005,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146006,1146002,1146010,NULL,5,0,0,5,0,NULL,NULL,0,1146006,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146007,1146002,1146011,NULL,6,0,0,6,0,NULL,NULL,0,1146007,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146008,1146002,1146012,NULL,7,0,0,7,0,NULL,NULL,0,1146008,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146009,1146002,1146013,NULL,8,0,0,8,0,NULL,NULL,0,1146009,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146010,1146002,1146014,NULL,9,0,0,9,0,NULL,NULL,0,1146010,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146011,1146002,1146015,NULL,Strongly Agree,0,0,10,0,NULL,NULL,0,1146011,0,19:59.5,training2-sprint14-reporting,::1,19:59.5,training2-sprint14-reporting,::1,0,NULL
1146012,1146003,1146006,NULL,Completely Disagree,0,0,1,0,NULL,NULL,0,1146012,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
1146013,1146003,1146007,NULL,2,0,0,2,0,NULL,NULL,0,1146013,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
1146014,1146003,1146008,NULL,3,0,0,3,0,NULL,NULL,0,1146014,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
1146015,1146003,1146009,NULL,4,0,0,4,0,NULL,NULL,0,1146015,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
1146016,1146003,1146010,NULL,5,0,0,5,0,NULL,NULL,0,1146016,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
1146017,1146003,1146011,NULL,6,0,0,6,0,NULL,NULL,0,1146017,0,20:15.8,training2-sprint14-reporting,::1,20:15.8,training2-sprint14-reporting,::1,0,NULL
