QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1173003,0.0,0,Very satisfied,Yes,0.0,0.0,0.0
1173003,0.0,1,Somewhat satisfied,Yes,0.0,0.0,0.0
1173003,0.0,2,Neutral,Yes,0.0,0.0,0.0
1173003,0.0,3,Somewhat unsatisfied,Yes,0.0,0.0,0.0
1173003,0.0,4,Very unsatisfied,Yes,0.0,0.0,0.0
1173003,1.0,0,"Yes, definitely",Yes,0.6666666666666666,0.3333333333333333,0.2222222222222222
1173003,1.0,1,"Yes, to some extent",Yes,0.4,0.2,0.08000000000000002
1173003,1.0,2,"No, not really",No,0.5,0.25,0.125
1173003,1.0,3,"No, not at all",No,0.4,0.2,0.08000000000000002
1173003,2.0,0,"Yes, definitely",Strongly agree,0.0,0.0,0.0
1173003,2.0,1,"Yes, to some extent",Strongly agree,0.0,0.0,0.0
1173003,2.0,2,"No, not really",Strongly agree,0.0,0.0,0.0
1173003,2.0,3,"No, not at all",Strongly agree,0.0,0.0,0.0
1173003,3.0,0,Less than 1 month,Strongly agree,0.0,0.0,0.0
1173003,3.0,1,1-3 months,Strongly agree,0.0,0.0,0.0
1173003,3.0,2,3-6 months,Strongly agree,0.0,0.0,0.0
1173003,3.0,3,6-12 months,Strongly agree,0.0,0.0,0.0
1173003,3.0,4,More than 12 months,Strongly agree,0.0,0.0,0.0
500100014,0.0,0,Executive/Senior Management,Executive/Senior Management,1.0,0.5,0.25
500100014,0.0,1,Manager,Manager,1.0,0.5,0.25
500100014,0.0,2,Staff/Employee,Staff/Employee,1.0,0.3333333333333333,0.33333333333333337
500100014,0.0,3,Intern,Executive/Senior Management,0.0,0.0,0.0
500100014,1.0,0,Less than 1 year,Less than 1 year,1.0,0.5285714285714286,0.08571428571428574
500100014,1.0,1,1-3 years,1-3 years,1.0,0.5714285714285714,0.08276643990929707
500100014,1.0,2,3-5 years,3-5 years,1.0,0.5809523809523809,0.09115646258503401
500100014,1.0,3,5-10 years,5-10 years,1.0,0.5714285714285714,0.08276643990929705
500100014,1.0,4,More than 10 years,More than 10 years,1.0,0.5285714285714286,0.08571428571428572
500100014,2.0,0,"Yes, always",1,0.0,0.0,0.0
500100014,2.0,1,"Yes, sometimes",1,0.0,0.0,0.0
500100014,2.0,2,"No, not often",1,0.0,0.0,0.0
500100014,2.0,3,"No, never",1,0.0,0.0,0.0
