QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500100040,0.0,0,"Yes, always",1,0.0,0.0,0.0
500100040,0.0,1,Sometimes,1,0.0,0.0,0.0
500100040,0.0,2,"No, never",1,0.0,0.0,0.0
500100040,1.0,0,"Yes, always",Very frequently,0.0,0.0,0.0
500100040,1.0,1,Sometimes,Very frequently,0.0,0.0,0.0
500100040,1.0,2,"No, never",Very frequently,0.0,0.0,0.0
500100040,2.0,0,"Yes, always","Yes, always",1.0,0.29654121763823793,0.2276368613315074
500100040,2.0,1,Sometimes,"Yes, always",0.0,0.0,0.0
500100040,2.0,2,"No, never","No, never",1.0,0.27822867543794966,0.23436831550929127
500100040,3.0,0,"Yes, always",Very transparent,0.0,0.0,0.0
500100040,3.0,1,Sometimes,Very transparent,0.0,0.0,0.0
500100040,3.0,2,"No, never",Very transparent,0.0,0.0,0.0
