QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500100040,0.0,0,"Yes, always",1,0.0,0.0,0.0
500100040,0.0,1,Sometimes,1,0.0,0.0,0.0
500100040,0.0,2,"No, never",1,0.0,0.0,0.0
500100040,1.0,0,"Yes, always",Very frequently,0.0,0.0,0.0
500100040,1.0,1,Sometimes,Very frequently,0.0,0.0,0.0
500100040,1.0,2,"No, never",Never,0.6666666666666666,0.13333333333333333,0.08888888888888888
500100040,2.0,0,"Yes, always","Yes, always",1.0,0.375,0.22916666666666666
500100040,2.0,1,Sometimes,"Yes, sometimes",0.6666666666666666,0.16666666666666666,0.1111111111111111
500100040,2.0,2,"No, never","No, never",1.0,0.35,0.22333333333333336
500100040,3.0,0,"Yes, always",Very transparent,0.0,0.0,0.0
500100040,3.0,1,Sometimes,Very transparent,0.0,0.0,0.0
500100040,3.0,2,"No, never",Very transparent,0.0,0.0,0.0
