QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146004,0.0,0,Very clean,Happy,0.0,0.0,0.0
1146004,0.0,1,Somewhat clean,Happy,0.0,0.0,0.0
1146004,0.0,2,Needs improvement,Happy,0.0,0.0,0.0
1146004,0.0,3,Very dirty,Happy,0.0,0.0,0.0
1146004,1.0,0,Very noisy,Happy,0.0,0.0,0.0
1146004,1.0,1,Somewhat noisy,Happy,0.0,0.0,0.0
1146004,1.0,2,Just right,Happy,0.0,0.0,0.0
1146004,1.0,3,Somewhat quiet,Happy,0.0,0.0,0.0
1146004,1.0,4,Very quiet,Happy,0.0,0.0,0.0
1146004,2.0,0,Very hot,Happy,0.0,0.0,0.0
1146004,2.0,1,Somewhat hot,Happy,0.0,0.0,0.0
1146004,2.0,2,Just right,Happy,0.0,0.0,0.0
1146004,2.0,3,Somewhat cool,Happy,0.0,0.0,0.0
1146004,2.0,4,Very cool,Happy,0.0,0.0,0.0
1146004,3.0,0,Very low,Happy,0.0,0.0,0.0
1146004,3.0,1,Somewhat low,Happy,0.0,0.0,0.0
1146004,3.0,2,Just right,Happy,0.0,0.0,0.0
1146004,3.0,3,Somewhat high,Happy,0.0,0.0,0.0
1146004,3.0,4,Very high,Happy,0.0,0.0,0.0
1146004,4.0,0,Very low,Happy,0.0,0.0,0.0
1146004,4.0,1,Somewhat low,Happy,0.0,0.0,0.0
1146004,4.0,2,Just right,Happy,0.0,0.0,0.0
1146004,4.0,3,Somewhat high,Happy,0.0,0.0,0.0
1146004,4.0,4,Very high,Happy,0.0,0.0,0.0
500000002,0.0,0,Extremely satisfied,Agree,0.0,0.0,0.0
500000002,0.0,1,Somewhat satisfied,Agree,0.0,0.0,0.0
500000002,0.0,2,Neutral,Agree,0.0,0.0,0.0
500000002,0.0,3,Somewhat dissatisfied,Agree,0.0,0.0,0.0
500000002,0.0,4,Extremely dissatisfied,Agree,0.0,0.0,0.0
500000002,1.0,0,Strongly agree,Agree,0.0,0.0,0.0
500000002,1.0,1,Somewhat agree,Agree,0.0,0.0,0.0
500000002,1.0,2,Neutral,Agree,0.0,0.0,0.0
500000002,1.0,3,Somewhat disagree,Agree,0.0,0.0,0.0
500000002,1.0,4,Strongly disagree,Agree,0.0,0.0,0.0
500000002,2.0,0,Always,Agree,0.0,0.0,0.0
500000002,2.0,1,Most of the time,Agree,0.0,0.0,0.0
500000002,2.0,2,Some of the time,Agree,0.0,0.0,0.0
500000002,2.0,3,Rarely,Agree,0.0,0.0,0.0
500000002,2.0,4,Never,Agree,0.0,0.0,0.0
500000002,3.0,0,Always,Agree,0.0,0.0,0.0
500000002,3.0,1,Most of the time,Agree,0.0,0.0,0.0
500000002,3.0,2,Some of the time,Agree,0.0,0.0,0.0
500000002,3.0,3,Rarely,Agree,0.0,0.0,0.0
500000002,3.0,4,Never,Agree,0.0,0.0,0.0
500000002,4.0,0,Always,Agree,0.0,0.0,0.0
500000002,4.0,1,Most of the time,Agree,0.0,0.0,0.0
500000002,4.0,2,Some of the time,Agree,0.0,0.0,0.0
500000002,4.0,3,Rarely,Agree,0.0,0.0,0.0
500000002,4.0,4,Never,Agree,0.0,0.0,0.0
