ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,My leader has a clear vision and communicates it to the team,What is your role in the company?,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0,0.0,0.0,0.08333333333333333,0.14285714285714285,0.10526315789473685
0,My leader has a clear vision and communicates it to the team,How would you rate your immediate supervisor's leadership effectiveness?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,My leader has a clear vision and communicates it to the team,Do you feel that your immediate supervisor provides clear direction and guidance to their team?,0.3333333333333333,0.26666666666666666,0.2962962962962963,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,0.2962962962962963
0,My leader has a clear vision and communicates it to the team,Do you feel supported and motivated by your immediate supervisor?,0.08333333333333333,0.1,0.0909090909090909,0.0,0.0,0.0,0.08333333333333333,0.1,0.0909090909090909
0,My leader has a clear vision and communicates it to the team,What specific areas of leadership do you believe need improvement within the company?,0.08333333333333333,0.07692307692307693,0.08,0.0,0.0,0.0,0.08333333333333333,0.07692307692307693,0.08
0,My leader has a clear vision and communicates it to the team,"How can leaders within the company better communicate, inspire, and motivate their teams?",0.4166666666666667,0.38461538461538464,0.4,0.0,0.0,0.0,0.25,0.23076923076923078,0.24000000000000002
0,My leader has a clear vision and communicates it to the team,Any additional comments or suggestions regarding leadership effectiveness?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,My leader empowers team members and gives them autonomy,What is your role in the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,My leader empowers team members and gives them autonomy,How would you rate your immediate supervisor's leadership effectiveness?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,My leader empowers team members and gives them autonomy,Do you feel that your immediate supervisor provides clear direction and guidance to their team?,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.0,0.0,0.0,0.1111111111111111,0.06666666666666667,0.08333333333333334
1,My leader empowers team members and gives them autonomy,Do you feel supported and motivated by your immediate supervisor?,0.1111111111111111,0.1,0.10526315789473685,0.0,0.0,0.0,0.1111111111111111,0.1,0.10526315789473685
1,My leader empowers team members and gives them autonomy,What specific areas of leadership do you believe need improvement within the company?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,My leader empowers team members and gives them autonomy,"How can leaders within the company better communicate, inspire, and motivate their teams?",0.3333333333333333,0.23076923076923078,0.27272727272727276,0.0,0.0,0.0,0.2222222222222222,0.15384615384615385,0.18181818181818185
1,My leader empowers team members and gives them autonomy,Any additional comments or suggestions regarding leadership effectiveness?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,My leader is able to create a collaborative environment,What is your role in the company?,0.1111111111111111,0.14285714285714285,0.125,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.125
2,My leader is able to create a collaborative environment,How would you rate your immediate supervisor's leadership effectiveness?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,My leader is able to create a collaborative environment,Do you feel that your immediate supervisor provides clear direction and guidance to their team?,0.1111111111111111,0.06666666666666667,0.08333333333333334,0.0,0.0,0.0,0.1111111111111111,0.06666666666666667,0.08333333333333334
