QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500000005,0,How would you rate the course overall?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,1,Did the course meet your expectations?,What's your preferred device?,0.0772821555347255,0.02854001757100494,0.0015448436045975994
500000005,2,How would you rate the course materials?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,3,How would you rate the course instructor?,How do you rate this course?,0.2672612419124243,0.0906447605404022,0.012219671492871922
500000005,4,Were the course objectives and learning objectives clearly communicated?,How do you split the welfare amount?,0.0552422012763417,0.011048440255268339,0.0006103401603711696
500000005,5,Were the course materials delivered in a way that was easy to understand?,How do you split the welfare amount?,0.0405487152208931,0.00810974304417862,0.00032883966121301754
500000005,6,Was the course interactive and engaging?,How do you split the welfare amount?,0.0654179323202992,0.01308358646405984,0.0008559011738126493
500000005,7,Do you feel that the course helped you to learn and retain information?,How do you split the welfare amount?,0.0573445430021913,0.027688394688795505,0.0006858893055119372
500000005,8,Is there anything you would change about the course?,How do you rate this course?,0.0781242702603468,0.04229814835940705,0.001578209309026803
500000005,9,Do you have any suggestions for improving the course?,How do you rate this course?,0.0781242702603468,0.046874562156208076,0.0018310204811135121
500000005,10,Were the course materials accessible and easy to use?,How do you split the welfare amount?,0.0552422012763417,0.011048440255268339,0.0006103401603711696
500000005,11,How well did the course meet your needs?,How do you split the welfare amount?,0.0861775895147389,0.04161022107582082,0.0015490253448120646
500000005,12,Were you able to learn and apply the skills and knowledge from the course?,How do you rate this course?,0.053852233004558,0.02915674902973538,0.0007498943572570337
500000005,13,Were the course materials engaging and interactive?,How do you split the welfare amount?,0.0680670214017967,0.013613404280359339,0.0009266238805025299
500000005,14,How would you rate the level of interaction with other students in the course?,How do you rate this course?,0.1482498633322202,0.05045687773141966,0.0037621663562897997
500000005,15,Do you feel that the course was organized and well-structured?,How do you split the welfare amount?,0.0715322008763116,0.0345388019003976,0.0010672668352108595
500100008,0,I feel like I have a clear understanding of the requirements of my current role to progress in my career.,What is your role in the company?,0.0486317981871022,0.03513267263264991,0.00020481459022296606
