ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Extremely satisfied,Agree,0
0,0.0,Extremely satisfied,Disagree,0
1,0.0,Somewhat satisfied,Agree,0
1,0.0,Somewhat satisfied,Disagree,0
2,0.0,Neutral,Agree,0
2,0.0,Neutral,Disagree,0
3,0.0,Somewhat dissatisfied,Agree,0
3,0.0,Somewhat dissatisfied,Disagree,0
4,0.0,Extremely dissatisfied,Agree,0
4,0.0,Extremely dissatisfied,Disagree,0
0,1.0,Strongly agree,Agree,0
0,1.0,Strongly agree,Disagree,0
1,1.0,Somewhat agree,Agree,0
1,1.0,Somewhat agree,Disagree,0
2,1.0,Neutral,Agree,0
2,1.0,Neutral,Disagree,0
3,1.0,Somewhat disagree,Agree,0
3,1.0,Somewhat disagree,Disagree,0
4,1.0,Strongly disagree,Agree,0
4,1.0,Strongly disagree,Disagree,0
0,2.0,Always,Agree,0
0,2.0,Always,Disagree,0
1,2.0,Most of the time,Agree,0
1,2.0,Most of the time,Disagree,0
2,2.0,Some of the time,Agree,0
2,2.0,Some of the time,Disagree,0
3,2.0,Rarely,Agree,0
3,2.0,Rarely,Disagree,0
4,2.0,Never,Agree,0
4,2.0,Never,Disagree,0
0,3.0,Always,Agree,0
0,3.0,Always,Disagree,0
1,3.0,Most of the time,Agree,0
1,3.0,Most of the time,Disagree,0
2,3.0,Some of the time,Agree,0
2,3.0,Some of the time,Disagree,0
3,3.0,Rarely,Agree,0
3,3.0,Rarely,Disagree,0
4,3.0,Never,Agree,0
4,3.0,Never,Disagree,0
0,4.0,Always,Agree,0
0,4.0,Always,Disagree,0
1,4.0,Most of the time,Agree,0
1,4.0,Most of the time,Disagree,0
2,4.0,Some of the time,Agree,0
2,4.0,Some of the time,Disagree,0
3,4.0,Rarely,Agree,0
3,4.0,Rarely,Disagree,0
4,4.0,Never,Agree,0
4,4.0,Never,Disagree,0
0,5.0,Always,Agree,0
0,5.0,Always,Disagree,0
1,5.0,Most of the time,Agree,0
1,5.0,Most of the time,Disagree,0
2,5.0,Some of the time,Agree,0
2,5.0,Some of the time,Disagree,0
3,5.0,Rarely,Agree,0
3,5.0,Rarely,Disagree,0
4,5.0,Never,Agree,0
4,5.0,Never,Disagree,0
