QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500100043,0.0,0,Very clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,1,Somewhat clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,2,Not very clear,Executive/Senior Management,0.0,0.0,0.0
500100043,0.0,3,Not clear at all,Executive/Senior Management,0.0,0.0,0.0
500100043,1.0,0,Very relevant,Yes,0.0,0.0,0.0
500100043,1.0,1,Somewhat relevant,Yes,0.0,0.0,0.0
500100043,1.0,2,Not very relevant,Not sure,0.4,0.13333333333333333,0.053333333333333344
500100043,1.0,3,Not relevant at all,Not sure,0.3333333333333333,0.1111111111111111,0.037037037037037035
500100043,2.0,0,Too detailed,Very involved,0.0,0.0,0.0
500100043,2.0,1,Just right,Very involved,0.0,0.0,0.0
500100043,2.0,2,Too high-level,Very involved,0.0,0.0,0.0
500100043,2.0,3,Not detailed enough,Not very involved,0.3333333333333333,0.12380952380952381,0.029024943310657594
500100043,3.0,0,"Yes, strongly",Very clear,0.0,0.0,0.0
500100043,3.0,1,"Yes, somewhat",Somewhat clear,0.5,0.16666666666666666,0.08333333333333334
500100043,3.0,2,"No, somewhat",Somewhat clear,0.5,0.16666666666666666,0.08333333333333334
500100043,3.0,3,"No, strongly",Very clear,0.0,0.0,0.0
500100062,0.0,0,Friendly and collaborative,Less than 1 year,0.0,0.0,0.0
500100062,0.0,1,Professional and formal,Less than 1 year,0.0,0.0,0.0
500100062,0.0,2,Stressful and chaotic,Less than 1 year,0.0,0.0,0.0
500100062,0.0,3,Other (please specify): __________________,Less than 1 year,0.0,0.0,0.0
500100062,1.0,0,"Yes, always",1,0.0,0.0,0.0
500100062,1.0,1,"Yes, sometimes",1,0.0,0.0,0.0
500100062,1.0,2,"No, not often",1,0.0,0.0,0.0
500100062,1.0,3,"No, never",1,0.0,0.0,0.0
500100062,2.0,0,1,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,1,2,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,2,3,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,3,4,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,4,5,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,5,6,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,6,7,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,7,8,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,8,9,Collaboration and Teamwork,0.0,0.0,0.0
500100062,2.0,9,10,Collaboration and Teamwork,0.0,0.0,0.0
500100062,4.0,0,1,Yes,0.0,0.0,0.0
500100062,4.0,1,2,Yes,0.0,0.0,0.0
500100062,4.0,2,3,Yes,0.0,0.0,0.0
500100062,4.0,3,4,Yes,0.0,0.0,0.0
500100062,4.0,4,5,Yes,0.0,0.0,0.0
500100062,4.0,5,6,Yes,0.0,0.0,0.0
500100062,4.0,6,7,Yes,0.0,0.0,0.0
500100062,4.0,7,8,Yes,0.0,0.0,0.0
500100062,4.0,8,9,Yes,0.0,0.0,0.0
500100062,4.0,9,10,Yes,0.0,0.0,0.0
500100062,5.0,0,"Yes, always",Yes,0.6666666666666666,0.2222222222222222,0.14814814814814814
500100062,5.0,1,"Yes, sometimes",Yes,0.6666666666666666,0.4444444444444444,0.14814814814814814
500100062,5.0,2,"No, not often",No,0.5,0.16666666666666666,0.08333333333333334
500100062,5.0,3,"No, never",No,0.6666666666666666,0.2222222222222222,0.14814814814814814
