QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
500100043,0,How would you rate the overall clarity of the roadmap?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.7200000000000001,0.34619607843137257,0.05102332948865823
500100043,1,How would you rate the relevance of the roadmap to your current role?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.5714285714285715,0.3278306878306878,0.022606673945298295
500100043,2,How would you rate the level of detail provided in the roadmap?,How would you rate the clarity of the goals and objectives outlined in the roadmap?,0.6666666666666665,0.3708801919328235,0.03387277790605045
500100043,3,Do you feel that the roadmap provides a clear direction for the team?,Do you feel that the roadmap planning process adequately considers input from all relevant stakeholders?,0.4285714285714285,0.2935449735449735,0.020053385963438867
500100043,4,"What, if anything, would you like to see changed or improved in the roadmap?",What improvements would you suggest to enhance the roadmap planning process in the future?,0.4285714285714285,0.30837438423645314,0.0069111116503676375
500100043,5,Do you have any suggestions or ideas for the roadmap?,What improvements would you suggest to enhance the roadmap planning process in the future?,0.3333333333333333,0.26619607843137255,0.008262545174932719
500100043,6,Any additional comments or suggestions regarding the roadmap?,What improvements would you suggest to enhance the roadmap planning process in the future?,0.2727272727272727,0.18555994729907774,0.0026831782336164526
500100062,0,How would you describe the overall atmosphere in the workplace?,Do you feel that the company's values are reflected in the workplace culture?,0.4166666666666666,0.2233949745906267,0.015421294630311003
500100062,1,Do you feel like you belong and are valued as a team member?,Do you feel that there is open and effective communication among colleagues and teams?,0.3703703703703704,0.18786557740505105,0.012310790372228755
500100062,2,How would you rate the level of trust and respect among team members?,Do you feel that there is open and effective communication among colleagues and teams?,0.2962962962962963,0.19910963305700147,0.010624031989701192
500100062,3,Do you feel like you are encouraged to share your ideas and opinions?,Do you feel that the company's values are reflected in the workplace culture?,0.2962962962962963,0.1622372705267442,0.011926875478390735
500100062,4,How would you rate the level of communication and transparency within the organization?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.3684210526315789,0.20333895636527213,0.011506473453799912
500100062,5,Do you feel like you are recognized and rewarded for your contributions and achievements?,Do you feel that there is open and effective communication among colleagues and teams?,0.3571428571428571,0.1551395826395826,0.015283288478995155
500100062,6,Any additional comments or feedback regarding workplace culture?,Feel free to leave additional comments or feedback regarding workplace culture.,0.7368421052631579,0.17716314006359773,0.05620498684154175
500100062,7,What do you think the company could do to improve the workplace culture?,Do you feel that the company's values are reflected in the workplace culture?,0.5185185185185186,0.27293208983998457,0.014401517815775889
