QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1146004,0.0,0,Very satisfied,Happy,0.0,0.0,0.0
1146004,0.0,1,Satisfied,Happy,0.0,0.0,0.0
1146004,0.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,0.0,3,Dissatisfied,Happy,0.0,0.0,0.0
1146004,0.0,4,Very dissatisfied,Happy,0.0,0.0,0.0
1146004,1.0,0,Very cold,Happy,0.0,0.0,0.0
1146004,1.0,1,Somewhat cold,Happy,0.0,0.0,0.0
1146004,1.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,1.0,3,Somewhat warm,Happy,0.0,0.0,0.0
1146004,1.0,4,Very warm,Happy,0.0,0.0,0.0
1146004,2.0,0,Very noisy,Happy,0.0,0.0,0.0
1146004,2.0,1,Somewhat noisy,Happy,0.0,0.0,0.0
1146004,2.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,2.0,3,Somewhat quiet,Happy,0.0,0.0,0.0
1146004,2.0,4,Very quiet,Happy,0.0,0.0,0.0
1146004,3.0,0,Very satisfied,Happy,0.0,0.0,0.0
1146004,3.0,1,Satisfied,Happy,0.0,0.0,0.0
1146004,3.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,3.0,3,Dissatisfied,Happy,0.0,0.0,0.0
1146004,3.0,4,Very dissatisfied,Happy,0.0,0.0,0.0
1146004,4.0,0,Very satisfied,Happy,0.0,0.0,0.0
1146004,4.0,1,Satisfied,Happy,0.0,0.0,0.0
1146004,4.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,4.0,3,Dissatisfied,Happy,0.0,0.0,0.0
1146004,4.0,4,Very dissatisfied,Happy,0.0,0.0,0.0
1146004,5.0,0,Very satisfied,Happy,0.0,0.0,0.0
1146004,5.0,1,Satisfied,Happy,0.0,0.0,0.0
1146004,5.0,2,Neutral,Neutral,1.0,0.3333333333333333,0.33333333333333337
1146004,5.0,3,Dissatisfied,Happy,0.0,0.0,0.0
1146004,5.0,4,Very dissatisfied,Happy,0.0,0.0,0.0
500000002,0.0,0,Extremely satisfied,Agree,0.0,0.0,0.0
500000002,0.0,1,Somewhat satisfied,Agree,0.0,0.0,0.0
500000002,0.0,2,Neutral,Agree,0.0,0.0,0.0
500000002,0.0,3,Somewhat dissatisfied,Agree,0.0,0.0,0.0
500000002,0.0,4,Extremely dissatisfied,Agree,0.0,0.0,0.0
500000002,1.0,0,Strongly agree,Agree,0.0,0.0,0.0
500000002,1.0,1,Somewhat agree,Agree,0.0,0.0,0.0
500000002,1.0,2,Neutral,Agree,0.0,0.0,0.0
500000002,1.0,3,Somewhat disagree,Agree,0.0,0.0,0.0
500000002,1.0,4,Strongly disagree,Agree,0.0,0.0,0.0
500000002,2.0,0,Almost always,Agree,0.0,0.0,0.0
500000002,2.0,1,About half the time,Agree,0.0,0.0,0.0
500000002,2.0,2,Seldom,Agree,0.0,0.0,0.0
500000002,2.0,3,Never,Agree,0.0,0.0,0.0
500000002,3.0,0,Almost always,Agree,0.0,0.0,0.0
500000002,3.0,1,About half the time,Agree,0.0,0.0,0.0
500000002,3.0,2,Seldom,Agree,0.0,0.0,0.0
500000002,3.0,3,Never,Agree,0.0,0.0,0.0
500000002,4.0,0,Almost always,Agree,0.0,0.0,0.0
500000002,4.0,1,About half the time,Agree,0.0,0.0,0.0
500000002,4.0,2,Seldom,Agree,0.0,0.0,0.0
500000002,4.0,3,Never,Agree,0.0,0.0,0.0
500000002,5.0,0,Almost always,Agree,0.0,0.0,0.0
500000002,5.0,1,About half the time,Agree,0.0,0.0,0.0
500000002,5.0,2,Seldom,Agree,0.0,0.0,0.0
500000002,5.0,3,Never,Agree,0.0,0.0,0.0
500100006,0.0,0,Yes,Mobile Phone,0.0,0.0,0.0
500100006,0.0,1,No,Mobile Phone,0.0,0.0,0.0
500100006,1.0,0,Healthcare benefits,Less than 1 year,0.0,0.0,0.0
500100006,1.0,1,Retirement benefits,Less than 1 year,0.0,0.0,0.0
500100006,1.0,2,Paid time off,Less than 1 year,0.0,0.0,0.0
500100006,1.0,3,Education and training,Less than 1 year,0.0,0.0,0.0
500100006,1.0,4,Stock options,Less than 1 year,0.0,0.0,0.0
500100006,1.0,5,Transportation benefits,Less than 1 year,0.0,0.0,0.0
500100006,1.0,6,Flexible work schedule,Less than 1 year,0.0,0.0,0.0
500100006,1.0,7,Other benefits,Less than 1 year,0.0,0.0,0.0
500100006,2.0,0,Very satisfied,1,0.0,0.0,0.0
500100006,2.0,1,Somewhat satisfied,1,0.0,0.0,0.0
500100006,2.0,2,Neutral,1,0.0,0.0,0.0
500100006,2.0,3,Somewhat dissatisfied,1,0.0,0.0,0.0
500100006,2.0,4,Very dissatisfied,1,0.0,0.0,0.0
500100006,3.0,0,Healthcare benefits,Health insurance,0.0,0.0,0.0
500100006,3.0,1,Retirement benefits,"Retirement plans (e.g., 401(k))",0.0684862285447737,0.0068486228544773695,0.0004690363500286976
500100006,3.0,2,Paid time off,Paid time off (PTO),0.7165313105737893,0.07165313105737893,0.051341711903259216
500100006,3.0,3,Education and training,Health insurance,0.0,0.0,0.0
500100006,3.0,4,Stock options,Remote work options,0.1129147017517987,0.01129147017517987,0.0012749729871697653
500100006,3.0,5,Transportation benefits,Health insurance,0.0,0.0,0.0
500100006,3.0,6,Flexible work schedule,Flexible working hours,0.135315205395163,0.027063041079032603,0.0032551475219795827
500100006,3.0,7,Other benefits,Other,0.1861648705529516,0.018616487055295162,0.0034657359027997227
500100006,4.0,0,"Yes, they play a big role",Yes,0.0,0.0,0.0
500100006,4.0,1,"Yes, but not as big as health benefits",Yes,0.0,0.0,0.0
500100006,4.0,2,"No, they are not important",Yes,0.0,0.0,0.0
500100006,4.0,3,I don't know,Yes,0.0,0.0,0.0
500100007,0.0,0,Very satisfied,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,1,Somewhat satisfied,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,2,Neutral,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,3,Somewhat dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100007,0.0,4,Very dissatisfied,Executive/Senior Management,0.0,0.0,0.0
500100007,1.0,0,Strongly agree,Less than 1 year,0.0,0.0,0.0
500100007,1.0,1,Agree,Less than 1 year,0.0,0.0,0.0
500100007,1.0,2,Neutral,Less than 1 year,0.0,0.0,0.0
500100007,1.0,3,Disagree,Less than 1 year,0.0,0.0,0.0
500100007,1.0,4,Strongly disagree,Less than 1 year,0.0,0.0,0.0
500100007,2.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100007,2.0,1,Agree,Yes,0.0,0.0,0.0
500100007,2.0,2,Neutral,Yes,0.0,0.0,0.0
500100007,2.0,3,Disagree,Yes,0.0,0.0,0.0
500100007,2.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100007,3.0,0,Always,Yes,0.0,0.0,0.0
500100007,3.0,1,Most of the time,Yes,0.0,0.0,0.0
500100007,3.0,2,Some of the time,Yes,0.0,0.0,0.0
500100007,3.0,3,Rarely,Yes,0.0,0.0,0.0
500100007,3.0,4,Never,Yes,0.0,0.0,0.0
500100007,4.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100007,4.0,1,Agree,Yes,0.0,0.0,0.0
500100007,4.0,2,Neutral,Yes,0.0,0.0,0.0
500100007,4.0,3,Disagree,Yes,0.0,0.0,0.0
500100007,4.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100007,5.0,0,Strongly agree,Very satisfied,0.0,0.0,0.0
500100007,5.0,1,Agree,Very satisfied,0.0,0.0,0.0
500100007,5.0,2,Neutral,Neutral,1.0,0.2,0.20000000000000004
500100007,5.0,3,Disagree,Very satisfied,0.0,0.0,0.0
500100007,5.0,4,Strongly disagree,Very satisfied,0.0,0.0,0.0
500100012,0.0,0,Strongly agree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,1,Agree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,2,Neutral,Less than 1 year,0.0,0.0,0.0
500100012,0.0,3,Disagree,Less than 1 year,0.0,0.0,0.0
500100012,0.0,4,Strongly disagree,Less than 1 year,0.0,0.0,0.0
500100012,1.0,0,Strongly agree,Very motivated,0.0,0.0,0.0
500100012,1.0,1,Agree,Very motivated,0.0,0.0,0.0
500100012,1.0,2,Neutral,Neutral,1.0,0.2,0.20000000000000004
500100012,1.0,3,Disagree,Very motivated,0.0,0.0,0.0
500100012,1.0,4,Strongly disagree,Very motivated,0.0,0.0,0.0
500100012,2.0,0,Strongly agree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,1,Agree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,2,Neutral,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,3,Disagree,Recognition for achievements,0.0,0.0,0.0
500100012,2.0,4,Strongly disagree,Recognition for achievements,0.0,0.0,0.0
500100012,3.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100012,3.0,1,Agree,Yes,0.0,0.0,0.0
500100012,3.0,2,Neutral,Yes,0.0,0.0,0.0
500100012,3.0,3,Disagree,Yes,0.0,0.0,0.0
500100012,3.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100037,0.0,0,Strongly agree,Executive/Senior Management,0.0,0.0,0.0
500100037,0.0,1,Agree,Executive/Senior Management,0.0,0.0,0.0
500100037,0.0,2,Neutral,Executive/Senior Management,0.0,0.0,0.0
500100037,0.0,3,Disagree,Executive/Senior Management,0.0,0.0,0.0
500100037,0.0,4,Strongly disagree,Executive/Senior Management,0.0,0.0,0.0
500100037,1.0,0,Strongly agree,Less than 1 year,0.0,0.0,0.0
500100037,1.0,1,Agree,Less than 1 year,0.0,0.0,0.0
500100037,1.0,2,Neutral,Less than 1 year,0.0,0.0,0.0
500100037,1.0,3,Disagree,Less than 1 year,0.0,0.0,0.0
500100037,1.0,4,Strongly disagree,Less than 1 year,0.0,0.0,0.0
500100037,2.0,0,Strongly agree,Always,0.0,0.0,0.0
500100037,2.0,1,Agree,Always,0.0,0.0,0.0
500100037,2.0,2,Neutral,Always,0.0,0.0,0.0
500100037,2.0,3,Disagree,Always,0.0,0.0,0.0
500100037,2.0,4,Strongly disagree,Always,0.0,0.0,0.0
500100037,3.0,0,Strongly agree,Workload,0.0,0.0,0.0
500100037,3.0,1,Agree,Workload,0.0,0.0,0.0
500100037,3.0,2,Neutral,Workload,0.0,0.0,0.0
500100037,3.0,3,Disagree,Workload,0.0,0.0,0.0
500100037,3.0,4,Strongly disagree,Workload,0.0,0.0,0.0
500100037,4.0,0,Strongly agree,High volume of work,0.0,0.0,0.0
500100037,4.0,1,Agree,High volume of work,0.0,0.0,0.0
500100037,4.0,2,Neutral,High volume of work,0.0,0.0,0.0
500100037,4.0,3,Disagree,High volume of work,0.0,0.0,0.0
500100037,4.0,4,Strongly disagree,High volume of work,0.0,0.0,0.0
500100047,0.0,0,1 - Strongly disagree,Very satisfied,0.0,0.0,0.0
500100047,0.0,1,2 - Somewhat disagree,Very satisfied,0.0,0.0,0.0
500100047,0.0,2,3 - Neither agree nor disagree,Very satisfied,0.0,0.0,0.0
500100047,0.0,3,4 - Somewhat agree,Very satisfied,0.0,0.0,0.0
500100047,0.0,4,5 - Strongly agree,Very satisfied,0.0,0.0,0.0
