EXPERIMENT_ID,RESPONSE_TIME,TOTAL_TOKENS,PROMPT_TOKENS,COMPLETITION_TOKENS
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,18.50242787373217,1296.4683544303798,555.0759493670886,741.3924050632911
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,19.62780759907976,1398.493670886076,555.0759493670886,843.4177215189874
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,18.849867859973184,1377.73417721519,555.0759493670886,822.6582278481013
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,16.648376476915576,1292.26582278481,555.0759493670886,737.1898734177215
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,19.134417657610737,1293.4556962025317,555.0759493670886,738.379746835443
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,18.859320199942285,1394.0759493670887,555.0759493670886,839.0
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,17.013802649099617,1284.253164556962,555.0759493670886,729.1772151898734
0s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,340.7617018222809,1427.8354430379748,539.0886075949367,888.746835443038
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,96.91869446597522,1347.9493670886077,553.0759493670886,794.873417721519
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,118.4438379263576,1368.1898734177216,553.0759493670886,815.1139240506329
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,403.64325056800357,1759.1772151898733,539.0886075949367,1220.0886075949368
0s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,288.38291766070114,1309.367088607595,546.0886075949367,763.2784810126582
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,123.0002126452289,1350.506329113924,553.0759493670886,797.4303797468355
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,575.971208412436,1408.2025316455697,504.0253164556962,904.1772151898734
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,12.65024028850507,1075.379746835443,547.0759493670886,528.3037974683544
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,15.05244866503945,1178.3291139240507,547.0759493670886,631.253164556962
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,14.305004147034657,1168.3164556962026,547.0759493670886,621.2405063291139
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,12.187765658656254,1008.4177215189874,540.1645569620254,468.253164556962
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,13.227367461482181,1098.8101265822784,547.0759493670886,551.7341772151899
0s_gpt-35-turbo-dev_6000MT_0T_0FP,15.431009609487992,1204.6455696202531,547.0759493670886,657.5696202531645
0s_gpt-35-turbo-dev_6000MT_0T_1FP,12.46096984947784,1081.2784810126582,547.0759493670886,534.2025316455696
0s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,340.06890991367874,1241.26582278481,524.367088607595,716.8987341772151
0s_gpt-4-dev_4000MT_0.25T_0FP_JSON,82.27975173237958,1416.0506329113923,545.0759493670886,870.9746835443038
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,134.92526673667038,1411.9620253164558,545.0759493670886,866.8860759493671
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,266.00692935533164,1686.506329113924,538.1898734177215,1148.3164556962026
0s_gpt-4-dev_4000MT_0T_0.5FP_JSON,326.64650090434884,1170.7721518987341,538.1898734177215,632.5822784810126
