EXPERIMENT_ID,CONVERSION_ERROR_RATE,JSON_ERROR_RATE,NOT_SINGLE_QUESTIONNAIRE_ERROR_RATE,AVG_GENERATED_QUESTIONNAIRES,UNIQUE_QST_CODE_ERROR_RATE,AVG_NOT_UNIQUE_QST_CODE,QST_WITHOUT_ANSWER_ERROR_RATE,AVG_QST_WITHOUT_ANSWER,AVERAGE_QUESTION_NUMBER_DEVIATION,AVERAGE_ANSWER_NUMBER_DEVIATION,AVERAGE_QUESTION_NUMBER_DEVIATION_WITH_SAMPLE
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,93.67088607594937,88.60759493670886,0.0,1.0,8.474576271186441,2.0,6.779661016949152,2.75,,1.6140873015873016,
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0833924680983504,
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.3353586889301177,
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,100.0,97.46835443037975,,1.0,7.142857142857143,6.0,14.285714285714286,4.0,5.0,1.65,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,89.87341772151899,83.54430379746836,0.0,1.0,1.2820512820512822,3.0,6.410256410256411,1.8,6.0,1.6145331996434937,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0824213919802155,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,98.73417721518987,98.73417721518987,0.0,1.0,0.0,,0.0,,,,
0s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,51.89873417721519,13.924050632911392,0.0,1.0,2.2988505747126435,1.4,6.896551724137931,1.4666666666666666,3.391304347826087,1.1433063124239593,
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.9273260061600398,
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,0.9275414332399626,
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,91.13924050632912,35.44303797468354,42.857142857142854,1.0491803278688525,6.7924528301886795,3.8333333333333335,16.60377358490566,2.75,3.7941176470588234,1.50497632997633,
0s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,56.962025316455694,5.063291139240507,0.0,1.0,1.8416206261510129,7.1,7.550644567219153,2.7560975609756095,2.8095238095238093,1.1381212863933452,
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.7863350278382956,
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,92.40506329113924,34.177215189873415,116.66666666666667,1.6,7.665505226480836,3.3636363636363638,16.027874564459932,2.8043478260869565,4.653846153846154,1.5458215371710182,
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,78.48101265822785,74.68354430379746,0.0,1.0,0.0,,3.4482758620689653,1.6666666666666667,3.388888888888889,1.6075,
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.227272727272727,1.14091361182154,
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.2950819672131146,1.1236364660806852,
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,98.73417721518987,96.20253164556962,0.0,1.0,9.090909090909092,1.0,18.181818181818183,1.0,3.6666666666666665,0.3839285714285716,
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,72.15189873417721,70.88607594936708,0.0,1.0,0.0,,1.0416666666666667,2.0,3.608695652173913,0.9527777777777778,
0s_gpt-35-turbo-dev_6000MT_0T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.2063492063492065,1.1334659621424328,
0s_gpt-35-turbo-dev_6000MT_0T_1FP,100.0,100.0,,1.0,,,,,,,
0s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,32.91139240506329,8.860759493670885,1.8867924528301887,1.0136986301369864,0.4819277108433735,3.5,4.578313253012048,1.368421052631579,2.9791666666666665,1.0981025459426195,
0s_gpt-4-dev_4000MT_0.25T_0FP_JSON,2.5316455696202533,2.5316455696202533,0.0,1.0,0.0,,0.0,,3.3636363636363638,0.9633286647992529,
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,2.7333333333333334,1.018019244734931,
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,88.60759493670886,26.582278481012658,55.55555555555556,1.109375,7.142857142857143,1.8823529411764706,20.58823529411765,1.7346938775510203,4.04,1.1647898048108132,
0s_gpt-4-dev_4000MT_0T_0.5FP_JSON,15.189873417721518,1.2658227848101267,0.0,1.0,0.0,,2.4774774774774775,1.0,3.1153846153846154,0.9791808390022675,
0s_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,2.7777777777777777,0.8825630252100839,
0s_gpt-4-dev_4000MT_0T_1FP_JSON,92.40506329113924,29.11392405063291,66.66666666666667,1.6721311475409837,7.142857142857143,2.4,17.857142857142858,2.18,3.4893617021276597,1.6318631577210008,
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,41.77215189873418,37.9746835443038,0.0,1.0,0.3125,2.0,0.9375,2.3333333333333335,1.0,1.3210509860509856,3.6
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,1.3874044062069273,3.757575757575758
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.5211598949344047,3.0588235294117645
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,97.46835443037975,92.40506329113924,0.0,1.0,9.375,1.3333333333333333,12.5,2.0,,1.6466666666666665,1.6666666666666667
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,32.91139240506329,29.11392405063291,0.0,1.0,0.26737967914438504,1.0,0.8021390374331551,1.6666666666666667,,1.3400042900042899,3.4782608695652173
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,1.2844594594594594,2.5161290322580645
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,91.13924050632912,84.81012658227849,0.0,1.0,4.615384615384615,1.6666666666666667,7.6923076923076925,1.4,,1.1708333333333334,4.25
1s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,59.49367088607595,6.329113924050633,6.25,1.1428571428571428,2.813852813852814,1.8461538461538463,9.090909090909092,1.3333333333333333,3.433333333333333,1.1347222222222224,3.395348837209302
1s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.9243924040204317,3.4838709677419355
1s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.8968431311918708,2.375
1s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,87.34177215189874,31.645569620253166,110.0,1.2647058823529411,6.923076923076923,3.111111111111111,16.923076923076923,2.522727272727273,3.725,1.3880805709092907,3.7777777777777777
1s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,59.49367088607595,2.5316455696202533,0.0,1.0,2.272727272727273,1.8181818181818181,9.297520661157025,1.5555555555555556,2.58974358974359,1.2095655273128536,2.8205128205128207
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0825928072378375,3.5161290322580645
1s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,88.60759493670886,16.455696202531644,100.0,1.48,9.615384615384615,2.3666666666666667,18.26923076923077,2.3333333333333335,4.023255813953488,1.2636540330417882,3.857142857142857
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,26.582278481012658,22.78481012658228,0.0,1.0,0.273972602739726,2.0,0.821917808219178,2.0,3.15625,1.4254435107376284,2.3870967741935485
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.8484848484848486,1.2183581786522961,2.1904761904761907
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,2.75,1.2567367553081839,2.3333333333333335
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,84.81012658227849,79.74683544303798,0.0,1.0,2.4691358024691357,1.0,4.938271604938271,1.5,2.4615384615384617,1.7900432900432899,2.4285714285714284
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,37.9746835443038,31.645569620253166,0.0,1.0,0.3021148036253776,1.0,1.5105740181268883,1.2,3.0357142857142856,1.3701455026455027,1.5238095238095237
1s_gpt-35-turbo-dev_6000MT_0T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,2.9696969696969697,1.402168864010969,1.7222222222222223
1s_gpt-35-turbo-dev_6000MT_0T_1FP,81.0126582278481,74.68354430379746,0.0,1.0,0.0,,5.2631578947368425,1.4,3.0625,1.3878384687208216,2.466666666666667
1s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,45.56962025316456,3.7974683544303796,2.3255813953488373,1.1168831168831168,1.5521064301552105,1.5714285714285714,7.317073170731708,1.3636363636363635,3.142857142857143,1.0431170953229776,2.590909090909091
1s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,3.0,1.023077564359077,3.6
1s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,2.8484848484848486,1.1795152505446622,2.2142857142857144
1s_gpt-4-dev_4000MT_0.5T_1FP_JSON,84.81012658227849,24.050632911392405,41.666666666666664,1.0735294117647058,7.749077490774908,1.7619047619047619,17.71217712177122,1.7916666666666667,3.5384615384615383,1.1532067782067783,3.7346938775510203
1s_gpt-4-dev_4000MT_0T_0.5FP_JSON,43.037974683544306,6.329113924050633,4.444444444444445,1.131578947368421,1.5625,2.142857142857143,6.473214285714286,1.4137931034482758,3.25531914893617,1.174355284378504,2.6666666666666665
1s_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,3.111111111111111,1.020254465422533,2.3846153846153846
1s_gpt-4-dev_4000MT_0T_1FP_JSON,86.07594936708861,30.379746835443036,54.54545454545455,1.106060606060606,9.195402298850574,1.7083333333333333,16.85823754789272,1.9090909090909092,3.3541666666666665,1.0616473616473616,3.1777777777777776
