EXPERIMENT_ID,ASW_BLEU_SCORE,ASW_ROUGE_L_F1_SCORE,QST_BLEU_SCORE,QST_ROUGE_L_F1_SCORE
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.04604009019542502,0.0759700176366843,0.13312930828944994,0.3088133937755505
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.12279860945294625,0.1666696836168042,0.21543491679206622,0.3853431622937105
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.14884297024072776,0.1901018741256391,0.1995166322914832,0.3614644381576086
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.0,0.0,0.27011428535182697,0.46351153399209527
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.11482331421388131,0.17467914638967266,0.17981900257930755,0.3561736622369478
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.12822430710319274,0.1664699279176858,0.22561418516109896,0.39726145003710783
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.0,0.0,0.11595723563148075,0.3078083102043258
0s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.040088035990021295,0.07120885429034124,0.15547951349314587,0.30798757550807865
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.08061282124587475,0.11214912785534746,0.16400332958339045,0.3233491152627135
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.06041194829057531,0.08726768303910487,0.1676698010459233,0.32501355037039426
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.06142207787888003,0.09003561513127838,0.1677595775819645,0.3233118168010677
0s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.06611941036156047,0.1015337165447097,0.1687360430884784,0.3260294862281404
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.05692903919018066,0.09237899772475089,0.15650600043628493,0.31584047979593466
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,0.0426866685022167,0.07573992737785838,0.16923696559749152,0.32770412661752885
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.15231845633941163,0.23202290764790762,0.2105466012292201,0.38349118529954274
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.11758029776944892,0.15546279602734117,0.2053467761561382,0.3777993649088805
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.12229019429301421,0.15554743157914572,0.2160785779681564,0.3894441061544989
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.33635073141623417,0.393939393939394,0.26101127306259797,0.5054402387735721
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.12445421900520363,0.1587514219227774,0.21202380734638157,0.3860906674699866
0s_gpt-35-turbo-dev_6000MT_0T_0FP,0.12936797041926099,0.1636022655038677,0.21115000260699118,0.3805604933897849
0s_gpt-35-turbo-dev_6000MT_0T_1FP,0.0449707979957152,0.06519360269360268,0.0758305631762098,0.23701114128211917
0s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.03702596668080342,0.0797305529128156,0.16788209029903897,0.3278322080993326
0s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.0392447988815635,0.07570335640721707,0.1613994845315095,0.3207715287538589
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.04521847928221437,0.08044554833691397,0.15521783952322962,0.3258587147160799
