EXPERIMENT_ID,CONVERSION_ERROR_RATE,JSON_ERROR_RATE,NOT_SINGLE_QUESTIONNAIRE_ERROR_RATE,AVG_GENERATED_QUESTIONNAIRES,UNIQUE_QST_CODE_ERROR_RATE,AVG_NOT_UNIQUE_QST_CODE,QST_WITHOUT_ANSWER_ERROR_RATE,AVG_QST_WITHOUT_ANSWER,AVERAGE_QUESTION_NUMBER_DEVIATION,AVERAGE_ANSWER_NUMBER_DEVIATION,AVERAGE_QUESTION_NUMBER_DEVIATION_WITH_SAMPLE
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,93.67088607594937,88.60759493670886,0.0,1.0,8.474576271186441,2.0,6.779661016949152,2.75,,1.6140873015873016,
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0833924680983504,
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.3353586889301177,
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,100.0,97.46835443037975,,1.0,7.142857142857143,6.0,14.285714285714286,4.0,5.0,1.65,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,89.87341772151899,83.54430379746836,0.0,1.0,1.2820512820512822,3.0,6.410256410256411,1.8,6.0,1.6145331996434937,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0824213919802155,
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,98.73417721518987,98.73417721518987,0.0,1.0,0.0,,0.0,,,,
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.6353174603174605,
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,0.9275414332399626,
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,91.13924050632912,35.44303797468354,42.857142857142854,1.0491803278688525,6.7924528301886795,3.8333333333333335,16.60377358490566,2.75,3.7941176470588234,1.50497632997633,
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,0.7863350278382956,
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,92.40506329113924,34.177215189873415,116.66666666666667,1.6,7.665505226480836,3.3636363636363638,16.027874564459932,2.8043478260869565,4.653846153846154,1.5458215371710182,
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,78.48101265822785,74.68354430379746,0.0,1.0,0.0,,3.4482758620689653,1.6666666666666667,3.388888888888889,1.6075,
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.227272727272727,1.14091361182154,
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.2950819672131146,1.1236364660806852,
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,98.73417721518987,96.20253164556962,0.0,1.0,9.090909090909092,1.0,18.181818181818183,1.0,3.6666666666666665,0.3839285714285716,
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,72.15189873417721,70.88607594936708,0.0,1.0,0.0,,1.0416666666666667,2.0,3.608695652173913,0.9527777777777778,
0s_gpt-35-turbo-dev_6000MT_0T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.2063492063492065,1.1334659621424328,
0s_gpt-35-turbo-dev_6000MT_0T_1FP,100.0,100.0,,1.0,,,,,,,
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,2.4285714285714284,1.7273148148148152,
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,100.0,64.28571428571429,inf,1.5,12.0,1.3333333333333333,20.0,2.0,3.0,2.9250000000000003,
0s_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,3.375,1.8583333333333327,
0s_gpt-4-dev_4000MT_0T_1FP_JSON,100.0,92.85714285714286,inf,1.8,0.0,,25.0,1.0,6.0,2.0,
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,41.77215189873418,37.9746835443038,0.0,1.0,0.3125,2.0,0.9375,2.3333333333333335,1.0,1.3210509860509856,3.6
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,1.3874044062069273,3.757575757575758
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.5211598949344047,3.0588235294117645
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,97.46835443037975,92.40506329113924,0.0,1.0,9.375,1.3333333333333333,12.5,2.0,,1.6466666666666665,1.6666666666666667
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,32.91139240506329,29.11392405063291,0.0,1.0,0.26737967914438504,1.0,0.8021390374331551,1.6666666666666667,,1.3400042900042899,3.4782608695652173
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,,1.2844594594594594,2.5161290322580645
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,91.13924050632912,84.81012658227849,0.0,1.0,4.615384615384615,1.6666666666666667,7.6923076923076925,1.4,,1.1708333333333334,4.25
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.3222222222222222,
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,26.582278481012658,22.78481012658228,0.0,1.0,0.273972602739726,2.0,0.821917808219178,2.0,3.15625,1.4254435107376284,2.3870967741935485
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,3.8484848484848486,1.2183581786522961,2.1904761904761907
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.0,0.0,0.0,1.0,0.0,,0.0,,2.75,1.2567367553081839,2.3333333333333335
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,84.81012658227849,79.74683544303798,0.0,1.0,2.4691358024691357,1.0,4.938271604938271,1.5,2.4615384615384617,1.7900432900432899,2.4285714285714284
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,37.9746835443038,31.645569620253166,0.0,1.0,0.3021148036253776,1.0,1.5105740181268883,1.2,3.0357142857142856,1.3701455026455027,1.5238095238095237
1s_gpt-35-turbo-dev_6000MT_0T_0FP,1.2658227848101267,1.2658227848101267,0.0,1.0,0.0,,0.0,,2.9696969696969697,1.402168864010969,1.7222222222222223
1s_gpt-35-turbo-dev_6000MT_0T_1FP,81.0126582278481,74.68354430379746,0.0,1.0,0.0,,5.2631578947368425,1.4,3.0625,1.3878384687208216,2.466666666666667
1s_gpt-4-dev_4000MT_0T_0FP_JSON,0.0,0.0,0.0,1.0,0.0,,0.0,,4.0,2.1876984126984125,
